sk_d_aluno,sk_d_periodo,sk_d_curso,cr_periodo,cr_acumulado
808c9cfebd38d4d93da5bb3b32be7e39cbb403672c5ce39b83bffe7d5660b114,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,5.2,5.8
808c9cfebd38d4d93da5bb3b32be7e39cbb403672c5ce39b83bffe7d5660b114,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,9.3,6.1
808c9cfebd38d4d93da5bb3b32be7e39cbb403672c5ce39b83bffe7d5660b114,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,6.5,6.1
60bfa6b5188a1c20691b4eb35e8448823072d90877b4c07666af4adfe679cf6d,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.4,5.5
60bfa6b5188a1c20691b4eb35e8448823072d90877b4c07666af4adfe679cf6d,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,3.4,4.1
60bfa6b5188a1c20691b4eb35e8448823072d90877b4c07666af4adfe679cf6d,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,1.3,3.5
60bfa6b5188a1c20691b4eb35e8448823072d90877b4c07666af4adfe679cf6d,c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,0,2.8
60bfa6b5188a1c20691b4eb35e8448823072d90877b4c07666af4adfe679cf6d,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,0,2.3
6a6581ce785d28e72b3b2d9a514334bd625e5f76082eb0665a373027e13b5aed,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.8,5.8
6a6581ce785d28e72b3b2d9a514334bd625e5f76082eb0665a373027e13b5aed,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,6.7,6.2
6a6581ce785d28e72b3b2d9a514334bd625e5f76082eb0665a373027e13b5aed,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,4.7,5.8
6a6581ce785d28e72b3b2d9a514334bd625e5f76082eb0665a373027e13b5aed,c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,4.8,5.6
6a6581ce785d28e72b3b2d9a514334bd625e5f76082eb0665a373027e13b5aed,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,7.3,6
6a6581ce785d28e72b3b2d9a514334bd625e5f76082eb0665a373027e13b5aed,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,4.4,5.9
6a6581ce785d28e72b3b2d9a514334bd625e5f76082eb0665a373027e13b5aed,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,6.6,6
83d7ce01060ca9e9dc54af6c215800d77b11bad522966f80acd79deddb36f73b,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,3.8,3.8
83d7ce01060ca9e9dc54af6c215800d77b11bad522966f80acd79deddb36f73b,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,4.4,4
